"GeoName","Year","Real GDP (millions of chained 2017 dollars) 1/","Chain-type quantity indexes for real GDP","Current-dollar GDP (millions of current dollars)","Compensation (millions of dollars)","Gross operating surplus (millions of dollars)","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Taxes on production and imports (TOPI) (millions of dollars)","Subsidies (millions of dollars)"
"United States","2000",14096033,71.874,10250952,5854629,3733603,662716,708555,-45840
"United States","2001",14230726,72.561,10581929,6046343,3866608,668980,727690,-58710
"United States","2002",14472712,73.795,10929108,6143368,4067108,718634,760031,-41396
"United States","2003",14877312,75.858,11456450,6362296,4337596,756559,805617,-49057
"United States","2004",15449757,78.777,12217196,6729301,4666186,821711,868098,-46386
"United States","2005",15987957,81.521,13039197,7077721,5079951,881527,942437,-60911
"United States","2006",16433148,83.791,13815583,7491255,5378760,945572,997040,-51467
"United States","2007",16762445,85.47,14474228,7889369,5602614,982245,1036830,-54584
"United States","2008",16781485,85.567,14769862,8068679,5703999,997183,1049740,-52557
"United States","2009",16349110,83.362,14478067,7767191,5742406,968470,1026819,-58347
"United States","2010",16789750,85.609,15048971,7932969,6108737,1007265,1063074,-55808
"United States","2011",17052410,86.948,15599732,8234013,6322003,1043716,1103724,-60008
"United States","2012",17442759,88.939,16253970,8575371,6600522,1078077,1136116,-58037
"United States","2013",17812167,90.822,16880683,8843638,6910942,1126103,1185823,-59720
"United States","2014",18261714,93.115,17608138,9259655,7168861,1179622,1237712,-58090
"United States","2015",18799622,95.857,18295019,9709535,7369222,1216262,1273452,-57192
"United States","2016",19141672,97.601,18804913,9977096,7580439,1247378,1309125,-61748
"United States","2017",19612102,100,19612102,10434978,7873027,1304097,1363972,-59875
"United States","2018",20193896,102.967,20656516,10967687,8295055,1393774,1457093,-63320
"United States","2019",20715671,105.627,21539982,11458472,8620834,1460676,1533631,-72956
"United States","2020",20267585,103.342,21354105,11604034,8927314,822756,1521264,-698509
"United States","2021",21494798,109.6,23681171,12568208,10022741,1090222,1700088,-609867
"United States","2022",22034828,112.353,26006893,13454101,10830542,1722249,1850245,-127997
"United States","2023",22671096,115.597,27720709,14209569,11720838,1790303,1893108,-102808
"United States","1997",12370299,63.075,8577552,4713220,3286528,577804,611614,-33810
"United States","1998",12924876,65.903,9062817,5075701,3384009,603105,639472,-36368
"United States","1999",13543774,69.058,9631172,5409932,3592861,628376,673584,-45209
"Alabama","2000",168695.3,77.878,120522.6,69762.3,43268.2,7492.1,7863.9,-371.8
"Alabama","2001",168448.3,77.764,123534.5,72035.2,43974.7,7524.7,8003.8,-479.2
"Alabama","2002",172430.4,79.602,128380.9,74129,46713.8,7538.1,8049.9,-511.8
"Alabama","2003",178040,82.192,135212.6,77056.5,50200.6,7955.6,8434.3,-478.7
"Alabama","2004",189913.7,87.673,148379.1,81556.7,58246.3,8576.2,8995.5,-419.3
"Alabama","2005",197246.5,91.058,158677.3,86323.5,62994.6,9359.2,9913.1,-553.9
"Alabama","2006",199923.9,92.294,166048.2,91125,64852.2,10071,10570.9,-499.9
"Alabama","2007",202025.5,93.265,172247,95265.2,66581.3,10400.5,10850.3,-449.7
"Alabama","2008",200967.4,92.776,174665.6,97611.3,66349.1,10705.2,11141.5,-436.3
"Alabama","2009",194192.1,89.648,170876.5,95302,65411.4,10163.1,10684.9,-521.8
"Alabama","2010",199455,92.078,177510.7,96786.4,70118.7,10605.6,11066.2,-460.6
"Alabama","2011",201372.8,92.963,182896.7,98870.7,72894.8,11131.3,11637.5,-506.3
"Alabama","2012",203675.5,94.026,188280.7,100346.7,76658.2,11275.8,11769.1,-493.3
"Alabama","2013",206962.9,95.544,193981.5,102149.1,80174,11658.5,12126.8,-468.3
"Alabama","2014",206070,95.132,197064.4,105994.6,79285,11784.9,12263.5,-478.6
"Alabama","2015",208950.3,96.461,203113.3,109984.6,81453.6,11675.1,12124.3,-449.1
"Alabama","2016",212862.8,98.268,208824.3,112832.2,83556.4,12435.7,12969.4,-533.7
"Alabama","2017",216615.5,100,216615.5,116587.1,87147.3,12881,13457.8,-576.8
"Alabama","2018",220808.8,101.936,226263.8,121558.4,91126.8,13578.5,14062.7,-484.1
"Alabama","2019",225272.8,103.997,234798.2,126937.8,93894.5,13965.9,14573.3,-607.4
"Alabama","2020",222288.8,102.619,235325.3,129847.3,97982.2,7495.8,15416,-7920.2
"Alabama","2021",233726.6,107.899,260018.4,139331.7,111165.8,9521,16655.2,-7134.2
"Alabama","2022",238556.5,110.129,284949.1,149053.7,119232.4,16663,17614.1,-951.1
"Alabama","2023",245354.7,113.267,304935.6,158996.9,128632,17306.7,18064.7,-758
"Alabama","1997",154700,71.417,105381.4,61081.8,37835.5,6464.1,6749.9,-285.8
"Alabama","1998",160396.4,74.047,110838.8,64168.4,40022.6,6647.8,6964,-316.1
"Alabama","1999",166531.8,76.879,116514.3,67226.1,42359.6,6928.6,7325.3,-396.7
"Alaska","2000",38428.1,71.76,26934,13892.5,10587.9,2453.6,2515.2,-61.6
"Alaska","2001",40014.4,74.722,28660.9,14881.8,11511.6,2267.5,2383.3,-115.8
"Alaska","2002",41904.7,78.252,29884.5,15708.1,12091,2085.4,2161.3,-75.8
"Alaska","2003",41235,77.002,32115.8,16524.6,13391.9,2199.3,2306.1,-106.8
"Alaska","2004",42880.1,80.073,35389.5,17456.8,15524.9,2407.7,2502.5,-94.8
"Alaska","2005",44406.8,82.924,40459.9,18591.3,19119.6,2749,2854.9,-105.9
"Alaska","2006",47546.2,88.787,44951.7,19602.7,22257.8,3091.1,3191.3,-100.1
"Alaska","2007",50126.7,93.606,49456.4,20790.3,23874.8,4791.3,4888.1,-96.8
"Alaska","2008",49926.6,93.232,55246.7,21813.9,23439,9993.8,10087.7,-93.8
"Alaska","2009",54951.9,102.616,50165.9,22534,23063.1,4568.8,4687.6,-118.8
"Alaska","2010",53652,100.189,53654,23165.3,24763.9,5724.7,5846.4,-121.7
"Alaska","2011",54045.5,100.923,56912.3,24453.1,25222.9,7236.3,7373.4,-137.1
"Alaska","2012",57087.4,106.604,58320.7,25731.9,24871.4,7717.3,7849.8,-132.5
"Alaska","2013",54627.6,102.011,57533,26354.1,22927.8,8251.1,8377.9,-126.8
"Alaska","2014",53303.3,99.538,56587.4,27135.9,23963.2,5488.2,5624,-135.7
"Alaska","2015",53681.1,100.243,51574.2,27820.6,20922.8,2830.7,2958.5,-127.7
"Alaska","2016",53463.9,99.837,51121.8,27189.7,20745.8,3186.3,3315.1,-128.8
"Alaska","2017",53550.9,100,53550.9,27153.8,22748,3649.1,3754.4,-105.3
"Alaska","2018",52479.6,97.999,54762,28290.1,22229.4,4242.5,4351.8,-109.4
"Alaska","2019",52377.5,97.809,54549.6,28962.4,21433.2,4154,4262,-108
"Alaska","2020",50332.8,93.991,51283.4,28314.4,20929.7,2039.3,3821.6,-1782.3
"Alaska","2021",51454.1,96.085,58943.5,29274,26853.3,2816.2,4247.9,-1431.6
"Alaska","2022",50767.1,94.802,66271.9,30858.8,30684,4729.1,4994.1,-265.1
"Alaska","2023",54059.7,100.95,68056,32975.3,30527.4,4553.3,4752.5,-199.2
"Alaska","1997",41071,76.695,25859.1,12347.8,11110.8,2400.5,2461.9,-61.4
"Alaska","1998",40263.7,75.188,24387.8,12889.5,9554.3,1943.9,2003.3,-59.4
"Alaska","1999",39783.1,74.29,24920.4,13127.4,9872.1,1920.9,1982.2,-61.2
"Arizona","2000",224729.3,67.466,165735.6,91213.7,63405.7,11116.1,11550,-433.8
"Arizona","2001",230885.6,69.314,172899.6,95488.4,65885,11526.2,12089.3,-563
"Arizona","2002",238257.1,71.527,180844.5,98065.4,70409.3,12369.8,12813.4,-443.7
"Arizona","2003",253743.1,76.176,194318,102700,78547.8,13070.2,13681.7,-611.5
"Arizona","2004",264990,79.553,207246.3,111151.5,82003.2,14091.6,14635.3,-543.7
"Arizona","2005",283806.2,85.202,227997.8,121792.6,90873.9,15331.2,16025.4,-694.2
"Arizona","2006",296424.4,88.99,246061.1,134617.1,94777.1,16666.9,17292.1,-625.3
"Arizona","2007",306611.6,92.048,261152.8,142618.9,100166.1,18367.7,18970.9,-603.1
"Arizona","2008",302277.9,90.747,261005.8,143892.3,99362.7,17750.8,18357.5,-606.7
"Arizona","2009",277412.4,83.282,244862.2,135115.4,92684.6,17062.2,17838.7,-776.5
"Arizona","2010",282252.5,84.735,250527,134511.7,98550.1,17465.2,18159.8,-694.6
"Arizona","2011",290411.3,87.185,261691.4,139648.8,103297.2,18745.4,19510.3,-764.9
"Arizona","2012",297077.3,89.186,272703.3,145286.8,108307.7,19108.8,19818.6,-709.8
"Arizona","2013",298859.9,89.721,278679.5,150459.5,108790.2,19429.8,20148.2,-718.4
"Arizona","2014",301721.2,90.58,286676,156601.4,110324.3,19750.3,20460.7,-710.4
"Arizona","2015",308582.8,92.64,298942.2,164026.5,115122.4,19793.3,20464.9,-671.6
"Arizona","2016",319008.4,95.77,313787.1,170872.2,121949.7,20965.2,21647.8,-682.6
"Arizona","2017",333099,100,333099,181242,130081.7,21775.2,22512.2,-737
"Arizona","2018",346398.3,103.993,353671,193323.4,137161.3,23186.3,23976.3,-790
"Arizona","2019",359576.7,107.949,375376.7,204498.2,146912.1,23966.3,24776.4,-810.1
"Arizona","2020",365027.7,109.585,388956.7,214358.2,164071.2,10527.4,24761.1,-14233.7
"Arizona","2021",395035.9,118.594,436778.6,233785.2,186216.6,16776.8,28040.7,-11263.9
"Arizona","2022",410228.4,123.155,484052.2,252418.7,201710.4,29923.2,31636.8,-1713.5
"Arizona","2023",422399.6,126.809,522767.2,270690.9,220937.5,31138.8,32541.2,-1402.4
"Arizona","1997",180293.9,54.126,132694.8,69876.9,54197.7,8620.3,8959,-338.8
"Arizona","1998",197492.1,59.289,144393.2,77170.2,58126.8,9096.2,9479.2,-383
"Arizona","1999",214293.9,64.333,156442.1,82857.2,63584.6,10000.3,10425.3,-425
"Arkansas","2000",95509.8,77.097,69176.3,38764.9,26482.9,3928.5,4908.3,-979.8
"Arkansas","2001",95528.7,77.112,71099.6,40392.4,26728.9,3978.3,5120.5,-1142.1
"Arkansas","2002",98556.6,79.556,74453.1,41666.2,28197.4,4589.6,5324.4,-734.8
"Arkansas","2003",102948,83.101,79009.7,43493,31047.7,4469,5572.5,-1103.5
"Arkansas","2004",108581.8,87.649,85928.6,46070.9,34358.6,5499.2,6062.3,-563.2
"Arkansas","2005",112451.1,90.772,91133.4,48486,36471.6,6175.8,6873.4,-697.6
"Arkansas","2006",114890.4,92.741,96073.7,51098.3,38324.5,6650.9,7272.3,-621.4
"Arkansas","2007",114026.7,92.044,98325,53622.4,38097.5,6605.1,7207.7,-602.6
"Arkansas","2008",113628,91.722,100206.7,54767,38712.9,6726.7,7241.5,-514.7
"Arkansas","2009",109833.1,88.659,97783.9,54249.4,37071.2,6463.3,7118.4,-655.1
"Arkansas","2010",113000.9,91.216,101699.3,55251.6,39383.6,7064.2,7628.3,-564.1
"Arkansas","2011",115241.8,93.025,105697.6,56860.2,41557.9,7279.6,7880.9,-601.3
"Arkansas","2012",116616.2,94.134,108836,59183.7,41893.7,7758.6,8326,-567.4
"Arkansas","2013",119842.8,96.739,114021.1,60513.9,45285.6,8221.6,8795.6,-573.9
"Arkansas","2014",121409.4,98.004,117388.7,62555.2,46434.2,8399.2,8955.3,-556
"Arkansas","2015",121532.5,98.103,118573.6,64674.9,45517.1,8381.5,8950.5,-569
"Arkansas","2016",123034.9,99.316,120987.4,66183.3,46274.1,8530.1,9295.8,-765.7
"Arkansas","2017",123882.6,100,123882.6,68590.2,46429.6,8862.8,9687.9,-825.1
"Arkansas","2018",126371.2,102.009,129213.8,70973.5,48983.4,9257,10084.4,-827.5
"Arkansas","2019",127220,102.694,132625.8,73876.1,49813.1,8936.6,10140.6,-1203.9
"Arkansas","2020",128340.9,103.599,136198.4,75939.1,54666.9,5592.4,10518.9,-4926.5
"Arkansas","2021",137463.6,110.963,154052.5,81871.8,64946.5,7234.1,11859.2,-4625.1
"Arkansas","2022",139560.7,112.656,168605.8,88247.3,68704.2,11654.3,12687.5,-1033.2
"Arkansas","2023",142860.6,115.319,178606.4,93333.5,73127.5,12145.4,13063.4,-918
"Arkansas","1997",87180.3,70.373,59925,32713.4,23402.8,3808.7,4168.6,-359.9
"Arkansas","1998",89905.3,72.573,62852,34880.3,24209.4,3762.3,4299.1,-536.8
"Arkansas","1999",94756.9,76.489,67279,36741.2,26196.2,4341.6,5185.8,-844.2
"California","2000",1784320.6,65.108,1354791.3,768407.2,507233.2,79150.9,83624.8,-4473.9
"California","2001",1784567.7,65.117,1373270.8,786930.1,511891.3,74449.5,86865.9,-12416.4
"California","2002",1821509.5,66.465,1419321.8,793788.4,538026.3,87507.2,92984.6,-5477.5
"California","2003",1895287.6,69.157,1498578,827156.6,582161.7,89259.7,94891.3,-5631.6
"California","2004",1956745.5,71.4,1585081.4,881959.4,606412.2,96709.9,102519.2,-5809.3
"California","2005",2042141,74.516,1698858.4,927318.3,669729.7,101810.3,108478.4,-6668.1
"California","2006",2120435.4,77.373,1812161.6,981317.3,717820.3,113024,119340.9,-6316.9
"California","2007",2168940.4,79.143,1900220.4,1030161.7,751585.7,118473,124480.2,-6007.2
"California","2008",2192331.8,79.996,1946241.5,1042593.3,777266.2,126381.9,132426.4,-6044.5
"California","2009",2110679.4,77.017,1879809.5,990447,767583.1,121779.4,129062.7,-7283.3
"California","2010",2153852.8,78.592,1938603.3,1010962.1,802380.6,125260.6,132269.1,-7008.5
"California","2011",2192887.2,80.016,2014050.3,1059937.3,820964.8,133148.2,140393.7,-7245.5
"California","2012",2255437.3,82.299,2108873.1,1114765.6,863471.2,130636.3,137492.5,-6856.2
"California","2013",2340335.3,85.397,2223300.9,1162038.5,920966.2,140296.2,147158.3,-6862.2
"California","2014",2428675.7,88.62,2342218.8,1229811.6,962693.6,149713.7,156627.7,-6914.1
"California","2015",2545979.5,92.9,2487156.4,1318280.3,1009062.4,159813.8,166553.2,-6739.4
"California","2016",2623711.7,95.737,2586485.2,1378246.5,1048498.2,159740.5,167061,-7320.5
"California","2017",2740550.3,100,2740550.3,1460857.7,1113553.2,166139.4,173541.6,-7402.2
"California","2018",2850970.3,104.029,2899530.9,1540875.1,1176918.8,181736.9,189440,-7703.1
"California","2019",2969609,108.358,3068629.7,1624376.7,1238208.4,206044.6,214139,-8094.4
"California","2020",2933320.2,107.034,3076755.1,1675731.4,1264048.9,136974.7,207507.5,-70532.8
"California","2021",3154188.6,115.093,3423958.3,1852225.9,1412999,158733.4,233802.5,-75069.1
"California","2022",3184007.8,116.181,3660415.7,1929551.2,1491835.4,239029.1,257456.5,-18427.4
"California","2023",3248656.6,118.54,3870378.9,2013636.5,1609913.7,246828.7,261203.8,-14375.1
"California","1997",1441226.4,52.589,1068048.6,574406.5,428090.2,65551.9,70407.3,-4855.4
"California","1998",1538612.3,56.142,1143672.5,625411.7,448831.5,69429.3,73616.8,-4187.5
"California","1999",1655438.5,60.405,1239773.5,681140.2,485290.8,73342.5,78033.4,-4690.8
"Colorado","2000",238739.3,68.171,179303.3,103397,65733.5,10172.8,10888.2,-715.4
"Colorado","2001",242650.1,69.287,185848.9,107385.7,68083.2,10380,11256.1,-876.1
"Colorado","2002",243701.9,69.588,189604.6,106675,71788.7,11140.9,11770.9,-629.9
"Colorado","2003",246017.4,70.249,195137.6,108767,75319.3,11051.3,11904.2,-852.8
"Colorado","2004",250069.3,71.406,203743.3,114039.1,77630.8,12073.4,12776,-702.5
"Colorado","2005",261992.9,74.81,220803.8,120659.7,87237.2,12906.8,13867.7,-960.8
"Colorado","2006",268190.8,76.58,232853.6,127954.9,91156,13742.7,14549.6,-806.8
"Colorado","2007",278733.8,79.591,248571.6,135477.3,98460.1,14634.1,15385.7,-751.6
"Colorado","2008",281803.3,80.467,257606.1,140438.3,102460.5,14707.2,15516,-808.8
"Colorado","2009",275659.1,78.713,249817.1,136615.5,98879,14322.6,15204.8,-882.2
"Colorado","2010",279385.6,79.777,256771.8,138303.8,101734.2,16733.8,17615.1,-881.4
"Colorado","2011",283963.8,81.084,266114.1,142990,105789.2,17334.9,18320.2,-985.3
"Colorado","2012",289339.5,82.619,274738.8,150787.6,107617.2,16334,17285.1,-951.1
"Colorado","2013",301484.1,86.087,291265.3,156896.8,117442.1,16926.4,17945,-1018.6
"Colorado","2014",315399,90.06,309223.9,167908.9,123433,17882,18930.2,-1048.2
"Colorado","2015",330526.1,94.38,320895.9,176545.2,125797,18553.6,19537.3,-983.7
"Colorado","2016",337685.2,96.424,330565.9,182006.1,128876.1,19683.8,20756.7,-1072.9
"Colorado","2017",350209.1,100,350209.1,193227.2,135696,21286,22422.6,-1136.7
"Colorado","2018",365204.5,104.282,373923.1,205553.2,145506.9,22863,23975.2,-1112.2
"Colorado","2019",383725.6,109.57,397843.6,219270.5,154123.4,24449.6,25678.6,-1229
"Colorado","2020",380188.8,108.561,396741.9,224462,161591,10688.8,25731.6,-15042.8
"Colorado","2021",406451.9,116.06,445835.7,244785.1,183734.8,17315.8,28733.3,-11417.5
"Colorado","2022",418818.8,119.591,494672.8,265986.7,199429.8,29256.3,31813.1,-2556.9
"Colorado","2023",437056,124.799,529626.5,282789.8,215911.5,30925.2,32905.6,-1980.4
"Colorado","1997",189445.6,54.095,136624.4,75821.2,52718.9,8084.3,8627.3,-543
"Colorado","1998",206449.1,58.95,149653.7,83860.3,57096.8,8696.6,9300.7,-604.1
"Colorado","1999",221040.8,63.117,162411.7,91762.2,61295.7,9353.8,10085.4,-731.6
"Connecticut","2000",233874.2,85.394,165523.4,94350,59729.3,11444.2,11810,-365.8
"Connecticut","2001",236338.1,86.294,171124.4,97527.3,62158.9,11438.2,11819.2,-381
"Connecticut","2002",234307.3,85.553,172929.7,96961.2,64228.2,11740.3,12134.2,-393.8
"Connecticut","2003",236719.1,86.433,177814.8,99706.5,65507.9,12600.4,13050.2,-449.8
"Connecticut","2004",252680.8,92.261,194722.9,105999.2,75718.5,13005.2,13484.4,-479.2
"Connecticut","2005",258203.7,94.278,204504.6,110582.6,80359.9,13562.1,14101.7,-539.6
"Connecticut","2006",269478.6,98.395,219812.2,115344.3,90850.4,13617.5,14128.8,-511.3
"Connecticut","2007",278485.4,101.683,232626.8,122626.5,95606.1,14394.2,14883.2,-489.1
"Connecticut","2008",277793.2,101.431,236110.7,124145.1,97607.3,14358.3,14847.3,-489
"Connecticut","2009",265530.8,96.953,231628,118312.8,98902.5,14412.6,15021.3,-608.7
"Connecticut","2010",266773.4,97.407,234022.2,120492,99022.3,14507.9,15115.3,-607.4
"Connecticut","2011",261555.8,95.502,233058.7,124609.6,93303.2,15145.9,15819.8,-673.9
"Connecticut","2012",263649.9,96.266,239907.5,127391.2,95560,16956.3,17581.3,-625
"Connecticut","2013",258911,94.536,240549.2,129222.2,94182.7,17144.3,17745.5,-601.2
"Connecticut","2014",260605.8,95.155,247114.7,133125.7,96136.1,17852.8,18467.5,-614.6
"Connecticut","2015",268869.8,98.172,260648.5,137619.9,105229.6,17799.1,18413.8,-614.8
"Connecticut","2016",268196.2,97.926,264760.4,138928.9,107976,17855.5,18471.3,-615.8
"Connecticut","2017",273875.1,100,273875.1,140537.4,114927.7,18410,18962.1,-552.1
"Connecticut","2018",274582.8,100.258,280535.4,143441.9,117126.1,19967.4,20540.6,-573.2
"Connecticut","2019",275225.4,100.493,286451.9,146557.8,119747.8,20146.3,20719.9,-573.7
"Connecticut","2020",260765.2,95.213,278029.4,146373.4,119973,11683,20727.4,-9044.4
"Connecticut","2021",269838.7,98.526,296801.3,154845,126796.4,15160,22176,-7016.1
"Connecticut","2022",278975.9,101.862,321686.4,166205,133645.9,21835.6,23199.2,-1363.7
"Connecticut","2023",286628.4,104.657,345911.9,172845.3,149820.5,23246.1,24392.5,-1146.4
"Connecticut","1997",205965.2,75.204,138467,77441.6,50705.4,10319.9,10734,-414.1
"Connecticut","1998",212255,77.501,145299.2,82628.7,51704.7,10965.8,11318.6,-352.9
"Connecticut","1999",218860,79.912,152093.7,87402.6,53537.5,11153.6,11520.9,-367.3
"Delaware","2000",63388.8,91.134,43559.6,19103,22577.9,1878.7,1985.9,-107.3
"Delaware","2001",65724.8,94.492,46373.8,20018.2,24728.5,1627.2,1739.8,-112.6
"Delaware","2002",63702.5,91.585,45865.4,20558.4,23566.5,1740.4,1857.1,-116.7
"Delaware","2003",64316.8,92.468,47839.6,21379.8,24571.3,1888.5,2015.2,-126.6
"Delaware","2004",67735.5,97.383,51674.1,22710,26478.9,2485.2,2616.4,-131.1
"Delaware","2005",66381.2,95.436,52048.6,24149.9,25330.5,2568.2,2729.8,-161.6
"Delaware","2006",68411.8,98.356,55567.7,25523.7,27368.6,2675.4,2820,-144.6
"Delaware","2007",68132.4,97.954,56705.6,26111.6,27876.1,2718,2854.1,-136.1
"Delaware","2008",65771.3,94.559,55250.8,26267.6,26421.7,2561.5,2713.9,-152.4
"Delaware","2009",69186.2,99.469,57729.9,25208.5,29955.5,2566,2740.8,-174.9
"Delaware","2010",68291.9,98.183,58132.2,25520.7,29900.4,2711,2943.8,-232.8
"Delaware","2011",71103.5,102.225,61379.4,26704.4,31989.5,2685.5,2925.5,-239.9
"Delaware","2012",70562.4,101.447,62342.1,27456.1,32001.1,2884.9,3101.9,-217
"Delaware","2013",68656.8,98.708,62058.2,28052.1,30973.6,3032.5,3258.4,-225.9
"Delaware","2014",73961.7,106.335,68606,29407.9,35833.6,3364.5,3575.6,-211.1
"Delaware","2015",76211.2,109.569,72352.5,30363,38520.9,3468.5,3647.8,-179.3
"Delaware","2016",71941.4,103.43,70021.5,30568.8,35748.3,3704.3,3894.5,-190.2
"Delaware","2017",69555.6,100,69555.6,31982.2,33716.5,3856.9,4045.7,-188.8
"Delaware","2018",70856.4,101.87,73376,33269.7,35945.1,4161.3,4346.8,-185.5
"Delaware","2019",74627.8,107.292,78710.5,34728.9,39619.7,4361.9,4556.1,-194.2
"Delaware","2020",72506.8,104.243,77520.3,34951.4,39919.8,2649.1,4484,-1834.8
"Delaware","2021",74657.1,107.334,83069.8,37154.4,42791.8,3123.6,4812.2,-1688.5
"Delaware","2022",77149.2,110.917,92558.2,40019,47788.1,4751.1,5145.9,-394.8
"Delaware","2023",78014.4,112.161,98068.7,41794.2,51332,4942.6,5325.1,-382.5
"Delaware","1997",51267,73.707,33302.2,15581.3,16236.3,1484.6,1578.7,-94.1
"Delaware","1998",56487,81.211,37170.6,16813.4,18756.7,1600.6,1694,-93.4
"Delaware","1999",60866.2,87.507,40446.5,17933.9,20819.4,1693.2,1800.6,-107.5
"District of Columbia","2000",92764.3,69.073,61267.7,43491,16272.7,1503.9,1904.6,-400.7
"District of Columbia","2001",96185.3,71.62,65620,46441.9,17730,1448.1,1854.2,-406
"District of Columbia","2002",99014.7,73.727,70078,49232.1,19305.5,1540.4,2029.5,-489.1
"District of Columbia","2003",100969.4,75.183,74047,51867.8,19993.9,2185.3,2706.8,-521.5
"District of Columbia","2004",106547.2,79.336,80600.7,55559,22408.1,2633.7,3219.2,-585.5
"District of Columbia","2005",108884.1,81.076,85414.5,58961.1,23843.1,2610.3,3247.1,-636.9
"District of Columbia","2006",108848.3,81.049,88350.9,61501.1,24177.4,2672.4,3333.2,-660.8
"District of Columbia","2007",112287.6,83.61,94013.8,64690.2,26280.1,3043.6,3671.5,-628
"District of Columbia","2008",116213.7,86.534,99240.4,67803.7,28396.3,3040.4,3664.2,-623.8
"District of Columbia","2009",115646,86.111,100430.1,69085.4,28514.3,2830.4,3516.1,-685.7
"District of Columbia","2010",120393.2,89.646,106128.6,72806.6,30305.4,3016.6,3715.7,-699.1
"District of Columbia","2011",122636.4,91.316,109953.9,75886.7,31258.3,2808.9,3652.8,-843.9
"District of Columbia","2012",123567.9,92.01,112512.7,77012.2,32213.8,3286.7,4012.7,-726
"District of Columbia","2013",124094.8,92.402,114832.7,78298,33077.6,3457.1,4188.6,-731.5
"District of Columbia","2014",126883.9,94.479,119998,81735.4,34514.9,3747.7,4511.1,-763.4
"District of Columbia","2015",129110.2,96.137,124753.6,84952.8,35599.6,4201.1,4976,-774.8
"District of Columbia","2016",132217.8,98.45,129933.5,88296.5,37322.6,4314.3,5122.5,-808.1
"District of Columbia","2017",134298.8,100,134298.8,91577.5,38296.6,4424.6,5216.1,-791.4
"District of Columbia","2018",138056.8,102.798,141240.2,96390.4,40171.6,4678.2,5540.3,-862.1
"District of Columbia","2019",138909.7,103.433,145071.4,98834.3,41487.4,4749.7,5663.2,-913.5
"District of Columbia","2020",137640.8,102.489,146660.1,100874.2,44023.7,1762.2,5270.6,-3508.3
"District of Columbia","2021",143141.4,106.584,156537.5,105622.5,48292.5,2622.5,5801,-3178.5
"District of Columbia","2022",144554.6,107.637,165768.4,110643.4,50058,5066.9,6487.3,-1420.4
"District of Columbia","2023",146024.3,108.731,176501.7,116516.3,54531.7,5453.7,6723.2,-1269.5
"District of Columbia","1997",86535.2,64.435,52581.6,36299,14861.4,1421.2,1885.5,-464.3
"District of Columbia","1998",88108.1,65.606,54877.4,37986.5,15385,1505.9,1913.5,-407.6
"District of Columbia","1999",92096.8,68.576,58948.8,41054.7,16376.3,1517.9,1934.4,-416.5
"Florida","2000",693837.3,68.367,490094.4,277837.2,167875,44382.1,45780,-1397.8
"Florida","2001",714638,70.417,519140.7,294974.2,179651.6,44514.9,46408.8,-1893.9
"Florida","2002",746252.8,73.532,553359.9,307910.7,196936.2,48513,50180.5,-1667.5
"Florida","2003",781834.2,77.038,590284.8,325617.1,211644.2,53023.4,55094.3,-2070.9
"Florida","2004",833946.8,82.173,647041.8,350949,235366.9,60725.9,62943.6,-2217.7
"Florida","2005",883164.5,87.023,704890.3,381106.1,257882.1,65902.2,68556.9,-2654.7
"Florida","2006",909298.9,89.598,749925,404150.9,274304.3,71469.8,73798.1,-2328.3
"Florida","2007",922288.3,90.878,781947.3,417647.6,289707.7,74592.1,76793.4,-2201.4
"Florida","2008",891766.9,87.87,767357.8,414981.7,280370.3,72005.7,74209.6,-2203.9
"Florida","2009",840480.6,82.817,739322.4,392991.1,278884.1,67447.2,69989.6,-2542.4
"Florida","2010",851956.4,83.948,752998.4,397806.5,288594.3,66597.6,68921,-2323.4
"Florida","2011",849395.3,83.695,761043.1,405636,290366.6,65040.4,67812.7,-2772.3
"Florida","2012",857861.3,84.529,784545.9,422227.2,296340.5,65978.2,68592.8,-2614.6
"Florida","2013",880183.5,86.729,819679.8,438644.5,312403.3,68631.9,71189.2,-2557.2
"Florida","2014",905648.5,89.238,860112.6,460882.3,329154.6,70075.8,72525.1,-2449.3
"Florida","2015",945929,93.207,918464.3,490190.7,355734.2,72539.4,74972.1,-2432.7
"Florida","2016",978989.7,96.465,964500.8,513429.6,374475.4,76595.8,79169.1,-2573.3
"Florida","2017",1014866.9,100,1014866.9,542128.7,390863.1,81875.1,84352,-2476.9
"Florida","2018",1050433.8,103.505,1072085.6,574611.4,410137.9,87336.3,89923.7,-2587.4
"Florida","2019",1084913.9,106.902,1133718,606423.7,435859.9,91434.5,94241.7,-2807.2
"Florida","2020",1069758.8,105.409,1142004.4,617912,473397.7,50694.7,93434.6,-42739.9
"Florida","2021",1170526.3,115.338,1298631.2,692775.2,536942.5,68913.4,109119,-40205.6
"Florida","2022",1239883.6,122.172,1465281.1,764185.1,586170.8,114925.2,120780.5,-5855.3
"Florida","2023",1292787.6,127.385,1600810.6,825073.1,656749.2,118988.4,123920.5,-4932.1
"Florida","1997",603988.6,59.514,401744.2,221590.4,142465.8,37688,38871.2,-1183.1
"Florida","1998",634032.3,62.474,428595.6,240597,147312.7,40686,42024.2,-1338.2
"Florida","1999",664152,65.442,457607,255881.8,158849.8,42875.3,44305.1,-1429.7
