"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Oklahoma","2019","0","10787693","0","4655400","3071467","1583933","573825","138884","420769","48069","402386","3565449","302878","741917","1522049","5754827","3146933","2205884","0","278976","321354","254","0","0","17375","29735","13319","0","2619","277417","2129238","3803840","0","651231","4698","7007847","159544","5905125","943178","820198","14645","183065","8098840","74933"
"Oregon","2019","0","14184891","21310","1870274","0","1870274","585869","19205","250156","14289","1000755","9847141","910929","787383","747854","9726075","6294693","1711337","0","2420499","29215","45","0","0","215770","29258","15282","0","37","1873250","1578916","4183185","0","1412640","6091","11891087","255356","7170914","4464817","873569","7483","238823","14849274","53529"
"Pennsylvania","2019","0","43132450","37234","22140157","11747314","10392843","3348366","430811","1303846","1255372","4054448","13517069","2962361","1153788","3321841","18514673","12816615","6176996","0","4629758","1386970","36","0","0","41977","70512","54927","0","144","455295","10040325","10752731","0","2430071","13065","31307311","1591952","27559949","2155410","2841656","6936","1144918","50032574","99877"
"Rhode Island","2019","0","3612575","2774","1877924","1120139","757785","152239","20727","137322","103042","344455","1376495","176463","29901","149018","1999910","1032950","467403","238","3215","55725","63767","0","0","16267","35441","13419","99346","8106","270261","549520","730201","54478","273388","2678","3275371","21856","2960598","292917","254022","0","95075","9275273","42494"
"South Carolina","2019","0","11221043","42450","5241143","3463666","1777477","725758","185461","28311","29077","808870","4759113","396207","306718","475412","7925463","5557620","2570804","0","1816622","101845","484","0","294326","35628","42730","13421","0","0","681760","2068393","4602100","0","1638155","11870","8254191","138845","7291789","823557","1272371","0","173614","12851131","63244"
"South Dakota","2019","0","1940415","0","1614664","1144682","469982","189831","17571","45760","3236","213584","0","46295","84902","194554","979345","376271","315347","0","2517","2277","0","0","0","23016","3842","0","0","0","29272","634851","713442","0","134507","2645","1239994","93267","1042910","103817","88937","1845","48914","3915357","11567"
"Tennessee","2019","0","16450938","0","12353713","9469967","2883746","1167127","222101","245923","7974","1240621","201900","1697469","372253","1825603","4306598","2125186","1641993","0","19019","100","0","0","0","19657","39034","3974","0","2919","398490","1851091","3920874","117205","1096920","10693","11770284","633502","9534408","1602374","1403053","6277","235973","6731354","54920"
"Texas","2019","0","63314370","0","53905367","38123052","15782315","3743004","1372693","1410391","648614","8607613","0","0","2227727","7181276","32134683","17598571","8875350","192","7399228","319146","0","0","0","69601","59829","17400","147","52903","804967","19800104","26690810","100150","2697397","30102","41192892","1818696","35336560","4037636","2912287","979555","1119601","53950255","94876"
"Utah","2019","0","9918773","0","4017858","2832742","1185116","571499","14203","112090","56445","430879","4978629","522382","233944","165960","6537234","5077343","2197552","0","2461804","1792","18","0","0","16534","23426","9042","0","4741","362434","2254366","5154893","0","363402","7641","4100564","512465","3258117","329982","402516","4102","153002","6895064","10275"
"Vermont","2019","0","3493747","1111956","1165401","412300","753101","126614","28985","68434","9020","520048","860639","149832","69334","136585","1026678","645993","566033","0","109","475","0","0","0","3890","10729","4583","0","0","60174","286604","850401","0","254587","2912","1860780","20750","1164711","675319","401897","1083","89148","3490331","1700"
"Virginia","2019","0","27076451","32599","9425132","5457799","3967333","1083719","244877","151287","531464","1955986","14917745","1247128","427129","1026718","17037654","11672444","4691475","0","5815406","139890","61","0","551236","10137","34246","40516","0","10","389467","4364575","8938877","0","1267177","18423","12535399","272132","11529367","733900","1185500","39460","448509","28927950","74435"
"Washington","2019","0","27992437","3358585","21373727","16647080","4726647","1697722","389822","397049","589724","1652330","0","0","836075","2424050","9778863","6520177","3364120","0","2135733","409368","0","0","0","160501","2904","97980","0","0","349571","2282823","7469190","0","1479971","8680","12461454","177922","10989816","1293716","2719801","13981","334022","29247354","194111"
"West Virginia","2019","0","5792317","6900","2790535","1368000","1422535","443423","17924","171224","124500","665464","2096807","198799","5203","694073","2651266","1609624","892522","0","58199","132393","1249","0","0","32630","26439","8376","9562","1515","446739","973919","1642879","0","516186","13973","4824416","49058","4083045","692313","216927","10771","86401","10597341","20273"
"Wisconsin","2019","0","19871532","103230","8494026","5695550","2798476","1116530","62124","599794","360211","659817","8759680","1304720","496067","713809","8292310","4915968","2238341","0","2030691","26095","0","5029","0","61014","4659","20816","101","0","529222","2517018","5069087","0","1029257","0","11515985","284471","10488696","742818","343299","25441","46768","22664234","88604"
"Wyoming","2019","0","2110704","273518","953905","770241","183664","120665","1976","21736","3874","35413","0","0","98837","784444","1127885","249551","116149","0","1140","9159","648","0","0","19089","1609","4305","0","1","97451","518769","534191","0","281462","4787","858064","52","642858","215154","372579","18","41029","882830","24457"
"Alabama","2020","0","12413368","445584","6274912","3351203","2923709","774990","241721","173628","685575","1047795","4274052","754272","237575","426973","7476953","5827695","2797881","0","2666711","1067","50","0","139822","8216","24858","38710","0","8315","142065","2251320","5609750","0","1334966","8577","7768683","129419","6908064","731200","504934","11026","196040","10020025","97317"
"Alaska","2020","0","1337059","125696","255206","0","255206","48554","40692","58356","4413","103191","0","194663","33600","727894","3007453","674753","170809","607","2384","47790","170654","0","0","20200","3212","20992","0","0","238712","1229597","613483","513353","87465","5055","2703997","137301","2237724","328972","173716","0","139058","5849366","41674"
"Arizona","2020","0","17640435","1096339","10746188","8715068","2031120","879891","80587","307903","21937","740802","4530410","523062","255034","489402","5613092","3341728","2908742","0","42","14069","655","0","0","46113","36725","6798","0","3454","325130","1688537","5594818","2","3062176","3749","17130394","294379","13245946","3590069","601875","20991","284663","8586234","113292"
"Arkansas","2020","0","10255155","1207396","5137583","3691920","1445663","542943","60539","228521","0","613660","2914939","469029","170569","355639","3951150","2815913","1293011","0","1223059","6991","14","0","0","16808","23548","90","0","86","252306","1193210","2770945","0","604715","2709","7353581","3950","6748270","601361","202696","1771","104925","7556492","95262"
"California","2020","0","172977355","3063367","63554860","43650233","19904627","8449593","407884","2122673","702579","8221898","84412243","9817957","4920460","7208468","43383454","31091423","11650996","0","14170172","39825","0","12438","0","1633306","160038","1567","0","0","3423081","12400664","40590287","0","8686790","24805","115221411","0","107229312","7992099","4202998","28110","2247835","142979100","293234"
"Colorado","2020","0","15074484","0","6011981","3400110","2611871","663889","49778","187129","0","1711075","7539184","696612","428841","397866","7037430","4759744","3254532","0","1189529","63675","2","0","0","38150","18998","164","0","3682","191012","2021207","6098690","0","1474091","6688","9821994","17166","8842290","962538","485229","3400","291690","20152897","58197"
"Connecticut","2020","0","18400534","0","7468451","4581615","2886836","472732","64774","320931","268919","1759480","8177456","2062263","230462","461902","4036282","2414604","1343892","0","486722","12786","27538","6111","0","35406","28811","13003","0","74280","386055","1652969","3386349","105","670724","10205","3848980","153017","2704424","991539","921368","25284","245669","41363053","19889"
"Delaware","2020","0","4555474","0","585504","0","585504","136824","25204","119153","50905","253418","1685848","244913","56082","1983127","2246016","1089628","692457","0","5029","199014","0","0","22194","1129","17711","6111","2506","70964","72513","914896","1557057","0","611032","8635","2823762","36051","2409403","378308","491765","0","160912","5068699","17987"
"District of Columbia","2020","248789","8334449","2927157","1611088","1234058","377030","22472","6009","24934","167700","155915","2377236","727697","40713","650558","1617115","805879","36496","671","132087","615","0","3481","0","0","18343","37704","388184","7589","181380","4963373","154026","3163494","0","138018","4393854","887938","2411135","1094781","664785","0","681236","19658921","38555"
"Florida","2020","0","43317743","0","35167486","26960208","8207278","2762052","300379","1097766","1660059","2387022","0","2481710","1498596","4169951","19768611","8647581","2742740","0","1288080","1880346","0","0","0","83824","43867","297","0","36","2608391","8055524","9171842","0","5109892","10037","29385477","138119","27206367","2040991","5883827","14795","649837","25001348","303832"
"Georgia","2020","0","23760988","662443","9538551","6163508","3375043","1873220","207639","225531","0","1068653","11704328","984087","375639","495940","6544771","3910100","2593473","0","279806","75507","0","0","481728","56694","134449","6302","0","0","282141","3392425","6514614","0","2744893","13192","13661125","84648","12284007","1292470","1358686","11380","455942","14115682","32864"
"Hawaii","2020","0","7707502","0","4923969","3697191","1226778","81611","50674","111920","134640","847933","2359093","43679","199182","181579","3585413","1680940","408750","19058","466028","0","417725","2623","180791","22443","16829","24989","0","0","140762","1174815","1347244","2244467","126573","37632","2985326","5966","2526533","452827","734601","0","53022","9431929","6601"
"Idaho","2020","0","5315760","0","2714828","2099543","615285","375532","10277","49464","2066","177946","1913459","245969","203051","238453","1503247","918787","463453","0","7889","7013","0","0","0","77055","11654","58213","0","0","293510","976268","1156708","0","291992","5024","3211852","70564","2795413","345875","206805","0","74334","3348042","9618"
"Illinois","2020","0","45284625","59589","20650013","11861155","8788858","1803859","302685","730407","1370658","4581249","17956356","3491688","1764038","1362941","10675086","5388408","2953414","0","894215","1466168","0","0","0","12796","4040","34402","0","0","23373","4851947","6120703","0","1761932","3208","27342458","155935","24038723","3147800","1250452","11085","526369","64856714","40670"
"Indiana","2020","0","22374096","13881","12506535","8233400","4273135","1449018","52895","409215","187813","2174194","8303278","756866","366896","426640","6839660","4020104","3585847","0","14","302345","0","0","14090","52026","33926","5046","0","0","26810","2817643","6902412","0","1331731","9098","16786289","340611","15154278","1291400","695828","12174","263246","23841296","80873"
"Iowa","2020","0","10661437","1815","4958143","3546984","1411159","670179","15505","211564","71987","441924","3960027","620486","698847","422119","7067099","4122170","1566391","0","2305185","2336","1611","0","0","103745","4988","14743","0","5632","117539","1819847","2736994","0","584565","4354","7160305","251301","6483737","425267","115871","1767","107741","6265602","47344"
"Kansas","2020","0","9659846","783279","4598189","3414591","1183598","453222","139208","125636","348","465184","3380030","433931","225983","238434","5847116","4531444","1220667","0","2846754","126263","0","0","0","35653","688","5687","0","0","295732","909217","2603837","0","346527","4128","5125160","61408","4171990","891762","402277","11154","116813","6996882","31077"
"Kentucky","2020","0","13345270","654791","6539197","4191324","2347873","690280","159588","382071","70648","1045286","4831399","639200","205245","475438","5869652","4498586","1635785","0","2502231","76018","383","0","0","77609","45938","21406","0","1149","138067","1934131","3894623","732317","1247770","5964","13208128","172677","12167101","868350","404794","56787","189877","14634789","106442"
"Louisiana","2020","0","11495966","90472","6174643","3571559","2603084","611027","77102","275055","10274","1629626","3916190","450449","76104","788108","4349613","2288510","1702643","0","9307","24764","244","0","121720","11350","99844","3325","0","0","315313","2082379","3832783","0","1004395","5247","13534847","27006","12754566","753275","585487","7645","257057","16779702","125955"
"Maine","2020","0","4851219","42626","2401733","1666718","735015","242580","17878","137331","22167","315059","1843459","216131","109927","237343","1412608","923572","326892","0","35745","152202","239","0","0","26422","1438","9608","0","0","371026","484053","824185","11594","244810","4451","3866582","50111","2747483","1068988","260773","296","96906","5151077","59236"
"Maryland","2020","0","23890161","867051","9518562","4936660","4581902","1076207","32238","362901","137713","2972843","10698876","1325456","471001","1009215","6764891","4238746","2153327","0","111664","648399","225234","0","55224","17113","27578","11653","185510","107","802937","3618201","5711379","0","948906","23192","14726224","1490065","11854880","1381279","2284170","2819","654418","29359300","45873"
"Massachusetts","2020","0","31631567","8926","9489653","6815727","2673926","707877","88370","523963","0","1353716","17414713","2532411","416016","1769848","11441693","5858797","2635172","3852","41604","1021699","763888","0","141731","27018","49682","9574","508111","0","660318","5006096","5108595","264296","1559931","19791","25599730","565803","23070496","1963431","1941704","5813","572372","77319317","222005"
"Michigan","2020","0","27960375","2373197","13307546","9223410","4084136","1199557","181064","826928","35656","1840931","9029493","812842","1366442","1070855","14392189","10279667","5268851","0","4771221","30564","337","0","0","51594","5188","8247","0","0","143665","2870198","10716242","0","2097723","11100","18111785","193600","14067719","3850466","2033434","0","531672","34402762","228481"
"Minnesota","2020","0","26790884","756066","11352902","6435200","4917702","879639","94319","616192","53","3327499","10923158","1604450","856610","1297698","5351484","2877353","2007205","0","189218","17717","745","0","0","40800","38107","19333","288390","0","275838","1959075","5403567","0","1215483","1707","16347867","469698","14525391","1352778","1109704","19604","408518","17400637","52742"
"Mississippi","2020","0","8099990","29387","5264298","3808624","1455674","428360","41703","138923","1778","844910","1861263","421425","162947","360670","3232025","2444125","1060050","0","1200073","7434","0","0","31158","24107","930","2135","0","0","118238","990017","2206962","0","682600","4472","6511527","54481","6091330","365716","317202","29193","143402","7306342","36450"
"Missouri","2020","0","12409761","36525","5458755","3793379","1665376","708455","41000","96760","0","819161","5901668","364460","300665","347688","6081309","3179218","1867649","0","1091756","7247","0","0","0","9172","2953","20291","0","1","180149","1607220","3507395","0","1053961","9067","10212484","105270","9691800","415414","2169118","972","254706","18969986","41129"
"Montana","2020","0","3168411","332869","678835","0","678835","260531","40465","75486","43351","259002","1338737","186297","171159","460514","947207","541859","442972","0","2426","404","343","0","0","51229","1930","1713","0","0","40842","586863","921083","0","124801","5767","2419051","0","2248103","170948","246464","2334","70842","2725873","44077"
"Nebraska","2020","0","5857227","128","2812655","2169821","642834","397341","32590","55394","60211","97298","2445647","391164","106763","100870","1820588","1082250","889884","0","28482","1243","254","0","0","32093","8692","1854","0","54","119694","834858","2031465","0","302936","3375","2881710","0","2166482","715228","281381","4883","89793","2585834","43221"
"Nevada","2020","0","9452840","346902","7594926","5479823","2115103","338020","43410","179895","47372","1506406","0","0","194095","1316917","1590790","923856","585326","0","271","4505","0","0","0","20218","9327","7873","0","0","296336","980747","1899546","21593","745171","10076","4275836","42375","3836912","396549","317865","24435","101530","3652724","62190"
"New Hampshire","2020","0","2807111","408937","922118","0","922118","118900","13176","209201","42245","538596","122631","780672","85310","487443","1763865","842270","550184","0","6742","141127","253","0","0","5136","20128","12100","2255","0","104345","476827","887275","0","293981","2284","2331255","53134","1841815","436306","140389","1515","73355","7543417","25733"
"New Jersey","2020","0","37927482","4974","16271749","11068018","5203731","487883","151731","583839","910079","3070199","15412766","3565191","628977","2043825","13395968","7074817","2956162","846","836525","1850135","14125","0","28128","4034","42074","59540","4499","2340","1277255","4328767","5883645","2743944","5628459","3583","19014357","317162","17050051","1647144","1808228","13297","795511","64058342","193840"
"New Mexico","2020","0","7150005","89284","3935006","3103765","831241","230303","20061","95080","33791","452006","1227926","95556","209574","1592659","5219473","1958509","577389","0","1219247","12343","0","0","0","12846","1459","9468","0","958","124799","813717","1926965","0","399273","0","7267657","53728","6558851","655078","540207","3893","137407","7269712","9079"
"New York","2020","0","92720854","0","28388278","15965689","12422589","1675483","259018","1035160","906990","8545938","53659401","4824289","1418248","4430638","24428260","11691754","3001843","0","6090990","923112","63550","0","12714","70014","321973","11693","0","226","1195639","12862355","11158171","697","2449403","3265","69674511","5044","69059597","609870","3965050","6918","954159","156004196","226290"
"North Carolina","2020","0","28310871","0","12839610","8473886","4365724","1943572","452442","288657","277","1680776","12505906","662343","873708","1429304","10134056","6626550","3605297","0","2106163","78699","757","1867","57416","49524","21950","70549","0","450","633878","5271991","8698621","563393","2218131","7590","15482741","11933","14994642","476166","1119620","21044","547422","15098522","143769"
"North Dakota","2020","0","4336232","5427","1564960","1067967","496993","193763","9116","26639","50469","217006","376864","81490","116847","2190644","1691422","749587","439572","0","2923","938","1","0","0","19983","5704","3375","0","0","277091","676875","1085401","0","142825","2532","1604551","67424","1323020","214107","128340","664","39643","2592479","15155"
"Ohio","2020","0","30604964","0","20327399","12864718","7462681","2527816","108185","914339","1034460","2877881","8284983","3683","453563","1535336","15862085","9198108","4836787","0","3772719","334939","0","0","0","28055","24119","64909","0","0","136580","4760527","9432051","0","1984019","14995","28890958","500207","27558372","832379","1304906","32522","487496","36423144","133568"
"Oklahoma","2020","0","10232297","0","4622832","2960531","1662301","580104","135956","458201","47048","440992","3364947","301574","773448","1169496","5752739","3128072","2179325","0","247482","331342","269","0","0","15251","28023","13588","0","2861","309931","2462757","3962779","0","739093","4380","7111916","159489","5994053","958374","934196","16689","197067","7804816","84182"
"Oregon","2020","0","13231045","21310","1937212","0","1937212","547483","18414","245318","16995","1109002","8635668","892484","723098","1021273","9670053","6454709","1648680","0","2504616","25881","12","0","0","240165","20348","16148","0","169","1998690","1961221","4951789","0","1486253","5619","12851487","267918","7751500","4832069","988695","6964","244689","14600436","66916"
"Pennsylvania","2020","0","40693000","39359","21445063","11630402","9814661","3110295","391289","1239528","1109338","3964211","12372183","2510056","1150355","3175984","17959310","12750262","6086038","0","4656600","1335774","1132","0","0","41329","59770","85255","7","97","484260","9690374","10527923","0","2572314","14724","37754172","692909","29577502","7483761","2888552","7219","1183361","51814792","96995"
"Rhode Island","2020","0","3551200","2843","1898767","1157312","741455","134448","20115","138761","105991","342140","1241856","213303","29627","164804","1992791","1138894","498287","619","2642","57529","51093","0","0","16537","26835","14052","103783","6522","361614","661828","731390","51325","272371","2620","3198724","22502","2771457","404765","399947","0","101649","9371823","38190"
"South Carolina","2020","0","11794684","42290","5381858","3565480","1816378","756658","187462","26694","27904","817660","5095531","505025","303975","466005","8098987","5809591","2551684","0","2178058","92858","299","0","292256","24213","39100","16117","0","0","615006","2919799","4777272","0","1778985","15471","8627484","139928","7622907","864649","1311125","2365","177197","12896315","60107"
"South Dakota","2020","0","2018423","0","1678709","1204351","474358","188356","18505","51081","3179","213237","0","37459","84815","217440","961041","339054","287724","0","2581","1957","0","0","0","12175","3347","0","0","0","31270","850102","733954","0","146505","3052","1265661","93406","1063341","108914","104823","2817","54278","3853450","14587"
"Tennessee","2020","0","16775270","0","13219753","9708042","3511711","1210141","213823","236922","7479","1843346","57642","1504881","353924","1639070","4314666","2122152","1629655","0","17194","105","0","0","0","17125","32898","10244","0","1461","413470","2225759","4051220","117205","1254357","11220","12350309","781902","10404126","1164281","1509937","6153","253011","6858341","58316"
"Texas","2020","0","61014301","0","53342923","38412349","14930574","3524712","1132858","1299014","658891","8315099","0","0","2075524","5595854","33049658","17605801","8962882","192","7380262","284110","0","0","0","63219","49217","17060","286","51303","797462","14114867","26915810","108769","3088299","32637","43210135","1916449","36749980","4543706","3780269","611514","1256438","57886725","137559"
"Utah","2020","0","8731796","0","4232521","3105441","1127080","482527","15459","105047","51229","472818","3734504","360203","228294","176274","6741637","5252820","2271398","0","2549672","1497","145","0","0","20670","26516","3888","0","4773","374261","2724644","5186482","0","425107","6802","4624342","509708","3803691","310943","467675","3905","168289","7633136","12130"
"Vermont","2020","0","3440660","1150268","1164652","431582","733070","116428","10762","71189","9311","525380","762641","141623","73514","147962","1014824","631854","553299","0","59","402","0","0","0","4161","10162","4937","0","0","58834","328996","862144","0","264215","2900","1954918","21729","1196096","737093","422380","1049","95474","3563173","2412"
"Virginia","2020","0","28064536","36381","10067447","5720715","4346732","1101139","266361","162294","518794","2298144","14996649","1362172","446812","1155075","16598611","11392462","4661665","0","5600982","154196","64","0","496258","11558","35968","44173","0","10","387588","4607422","9133665","0","1442676","18225","15142492","308549","14086954","746989","1239038","40618","483537","29340832","83031"
"Washington","2020","0","29017067","3738779","21763083","16929551","4833532","1564979","420292","390317","585310","1872634","0","0","648425","2866780","9774587","6407434","3257831","0","2092975","373440","0","0","0","161049","2942","125072","0","0","394125","2258877","7636104","0","2026199","9463","13814735","160491","12101165","1553079","3137646","17723","340370","29610960","217358"
"West Virginia","2020","0","5434302","7392","2818977","1386571","1432406","427273","18181","168750","137346","680856","1947946","151989","4355","503643","2623537","1592258","856757","0","73192","155134","1275","0","0","25507","23182","8177","9410","1437","438187","1305936","1727921","0","533704","13721","4981986","48927","4229271","703788","256471","9975","94504","11690002","21890"
"Wisconsin","2020","0","20170888","101087","8652410","5836215","2816195","1103699","63263","616240","350881","682112","8494785","1585086","627348","710172","8275113","4869818","2213685","0","2022963","25028","0","4743","0","53457","3659","18273","157","0","527853","2418115","5076181","0","1129970","0","12240551","255121","11082870","902560","406265","42340","45314","22446313","95830"
"Wyoming","2020","0","1963896","295983","951816","764917","186899","118945","2062","21223","4955","39714","0","0","99034","617063","973111","252794","121735","0","291","6534","477","0","0","22727","355","5290","0","1","95384","497039","597593","0","300213","4705","864888","28","639444","225416","396303","29","43539","949280","21069"
"Alabama","2021","0","14251329","468015","7014522","3912037","3102485","878038","272021","170998","663891","1117537","4908837","1134256","260114","465585","8196839","6254758","2794726","0","3097766","1336","0","0","151656","9884","32489","37276","0","8825","120800","2228687","6027554","0","1613289","8438","7960823","138017","7049243","773563","496839","12058","201161","9118128","108199"
"Alaska","2021","0","1053400","120028","267842","0","267842","44754","41126","61181","4361","116420","0","124987","36472","504071","2864229","583096","153201","513","4117","45560","155507","0","0","9956","3099","23175","0","0","188481","1344675","618589","561270","85110","4850","2644295","119516","2201807","322972","300680","0","143403","5652311","52200"
"Arizona","2021","0","20817605","1266990","11290897","9184958","2105939","844828","89138","294155","22226","855592","6532753","905953","293109","527903","5581149","3237036","2816413","0","52","12446","224","0","0","52389","11534","6922","0","4230","332826","1765166","5653890","1","3420960","5625","20731619","358777","16318115","4054727","947812","27698","298875","8969733","130391"
"Arkansas","2021","0","11726678","1308040","5752828","4187473","1565355","588223","68024","233224","0","675884","3467141","618457","178731","401481","4171033","2993199","1288938","0","1357357","6846","17","0","0","21305","33268","109","0","77","285282","1577430","2915262","0","660665","2506","7912728","10685","7166316","735727","331918","1516","107632","7868953","109230"
"California","2021","0","248188154","3151488","61191853","41973959","19217894","7659320","411969","1969795","652621","8524189","146324579","26097277","5225872","6197085","45644943","30989671","10177422","0","15639609","35312","0","14627","0","1290570","162183","2329","0","0","3667619","14687185","38154938","0","8803141","25169","129112022","0","119638286","9473736","4127948","25615","2289662","144313743","243482"
"Colorado","2021","0","18817848","0","6572936","3660590","2912346","618724","53433","227872","0","2012317","10246531","1278046","458464","261871","6873642","4517774","2824690","0","1312919","90413","2","0","0","32857","24447","21744","0","3478","207224","1886935","5833613","0","1300539","6807","10887043","22545","9777087","1087411","986113","5328","291351","22328511","105841"
"Connecticut","2021","0","22066648","0","8148270","5252683","2895587","469851","79109","322806","256751","1767070","10259183","2607064","223255","828876","4100094","2408122","1218262","0","547699","19164","27629","3023","0","40237","30662","15240","0","71765","434441","1557101","3515984","48","778452","11029","3762160","133933","2579400","1048827","1173450","27078","256093","41965429","21800"
"Delaware","2021","0","5395712","0","587923","0","587923","124842","32719","115700","45518","269144","2148289","334805","62180","2262515","2334916","1014797","602984","0","4187","209220","0","0","11810","1309","21776","7377","2605","77863","75666","1052188","1579710","0","684487","8595","3148395","35096","2682717","430582","546218","0","157682","5370040","179416"
"District of Columbia","2021","140395","8894003","3007722","1591327","1233016","358311","23618","6197","22185","159773","146538","2643213","863057","55085","733599","1646574","800897","34228","5","111299","1437","0","3228","0","0","13647","24604","406098","5269","201087","3350716","167934","3311983","0","82807","4711332","707175","2706827","1297330","1335426","0","668928","19908084","37714"
"Florida","2021","0","49314384","0","38522113","29873668","8648445","2873845","338642","1100091","1682256","2653611","0","3407190","1523039","5862042","21035169","8992428","2739244","0","1285278","1922793","0","0","0","99744","54336","304","0","43","2890686","7393431","9020220","0","5584063","11403","31672259","148549","29360154","2163556","6519739","13709","648695","21437107","388473"
"Georgia","2021","0","27850996","732325","10257930","6948296","3309634","1781682","227872","242897","0","1057183","14220906","1750735","406893","482207","6826159","4006188","2561180","0","281637","85303","297","0","610586","52965","98081","6577","0","0","309562","3726856","6376527","0","3042527","6173","14424138","64151","13112203","1247784","1593387","13696","470284","14627512","54531"
"Hawaii","2021","0","8046691","0","4147624","3296268","851356","70796","45178","108529","125221","501632","3354690","191426","177165","175786","3441162","1469071","333380","2791","498960","0","256230","2673","175223","22310","12632","24489","0","0","143174","1098065","1231486","2252169","133238","35368","3535565","21637","2955283","558645","743891","0","62513","11521014","7324"
"Idaho","2021","0","6472467","0","3180226","2516997","663229","405050","10980","48796","1961","196442","2457943","351479","232064","250755","1639794","1030841","439338","0","11309","7857","0","0","0","89491","16717","61608","0","0","404521","875928","1082582","0","357614","6892","3736726","77657","3289659","369410","219838","0","72532","3422989","4327"
"Illinois","2021","0","55531962","59589","23486335","13429355","10056980","2383666","312101","917043","1276429","5167741","21870696","5729501","2443924","1941917","10684176","5019070","2774141","0","938428","1245667","0","0","0","7885","3845","28599","0","0","20505","5215326","6987462","0","1808732","3557","30924900","188068","27508676","3228156","1737626","17346","534102","64743158","41953"
"Indiana","2021","0","26645852","13876","13847723","9282907","4564816","1545597","58542","410363","207932","2342382","10578929","1385158","351739","468427","6858600","3890873","3457389","0","17","302622","0","0","14309","39348","45814","5881","0","0","25493","3269289","6585640","0","1569358","8670","18199702","102569","16780778","1316355","1055744","7657","276723","21781589","92113"
"Iowa","2021","0","11816502","2024","5522117","4002493","1519624","673571","29798","200579","78826","536850","4266534","793641","760540","471646","5862981","4273537","1443315","0","2580248","809","1753","0","0","93660","7070","22266","0","6228","118188","1795863","2729319","0","585069","4926","7569736","292634","6783573","493529","128211","1980","117669","6379930","46016"
"Kansas","2021","0","11615757","815701","4970129","3767434","1202695","445472","148735","123410","312","484766","4617143","727435","243334","242015","6252351","4925592","1116809","0","3346781","128457","0","0","0","36854","555","12472","0","0","283664","1127006","2555594","0","351695","3927","5374973","62952","4306352","1005669","547021","14743","120287","6706015","108718"
"Kentucky","2021","0","14617202","707461","7088138","4558439","2529699","699875","174267","420634","81185","1153738","5212818","926075","223193","459517","6328300","4819601","1557670","0","2925633","89566","390","0","0","42346","51503","22046","0","1067","129380","1774390","3759090","731407","1158082","6214","15905902","145714","14808481","951707","625216","54887","226461","15362300","125290"
"Louisiana","2021","0","12257234","103750","6853513","4048616","2804897","639727","79279","268752","9250","1807889","3933108","587747","85059","694057","4736368","2296339","1663802","0","8092","19426","275","0","109230","11677","36899","4950","0","0","441988","2373571","4038298","0","1145110","8189","14552325","20969","13766690","764666","806079","10251","264163","16982504","199338"
"Maine","2021","0","5452250","44636","2629517","1909696","719821","231938","18461","144593","21732","303097","2075273","284317","126182","292325","1416886","886554","308122","0","42333","127025","204","0","0","25798","1788","9638","0","0","371646","438954","836709","12028","265345","5523","4181901","48764","2980088","1153049","272173","254","95950","5627663","87148"
"Maryland","2021","0","25220541","893215","10587203","5458909","5128294","1025338","38941","388243","144260","3531512","10186240","1840705","520688","1192490","6418571","3675833","1902976","0","123346","694627","183890","0","95642","18180","34074","13927","191166","80","417925","3122290","5762630","0","1049450","23452","16752898","2750477","12707732","1294689","2172290","3043","706258","30652002","154555"
"Massachusetts","2021","0","36336125","10368","10427871","7785108","2642763","662932","93206","398214","0","1488411","19683486","3672995","472172","2069233","10614275","5374248","2333725","2187","48556","1013255","578422","0","119017","31077","15688","13830","507326","0","713352","5570236","4944408","288023","1751941","21329","27079068","575206","24174429","2329433","2186722","5853","573020","79692181","297044"
"Michigan","2021","0","34431625","2396416","15925763","11190298","4735465","1336795","235383","886370","38425","2238492","11999165","1496498","1455962","1157821","15101610","10377079","4749531","0","5355883","33604","212","0","0","55624","7698","11246","0","0","163281","2419102","8189266","0","2195202","11065","19676225","163755","15319054","4193416","2098438","0","520239","33621791","368976"
"Minnesota","2021","0","31793412","809160","11204458","6698560","4505898","844730","101472","626480","95402","2837814","15170613","2423383","945653","1240145","5602194","2770639","1869775","0","209162","9382","1054","0","0","49393","42356","22983","299236","0","267298","1840443","5091700","0","1555139","2162","17158601","547061","14936970","1674570","1091960","21545","464048","16497365","62683"
"Mississippi","2021","0","9353158","29885","5657362","4230391","1426971","449814","45761","140868","1874","788654","2515630","550199","169938","430144","3403923","2484754","1103631","0","1178266","6428","0","0","28790","26878","883","1951","0","0","137927","967329","2137130","0","694334","4231","6600188","51471","6134170","414547","484382","25524","143181","7465082","39426"
