GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,SAGDP3N,38,"482","   Rail transportation ","Thousands of dollars",568,2758,1871,2289,3414,2047,2622,2660,2204,2598,4566,5045,3992,5071,11667,10551,11124,11098,9317,8682,6881,6099,9574,-36651,-30456,-13261,-20712
 "08000","Colorado",7,SAGDP3N,39,"483","   Water transportation ","Thousands of dollars",328,327,270,236,228,24,66,-31,73,49,73,114,112,183,184,106,196,75,74,68,58,61,65,-300,-159,64,69
 "08000","Colorado",7,SAGDP3N,40,"484","   Truck transportation ","Thousands of dollars",20119,20900,24250,25074,20350,22275,22768,24793,30567,31751,35437,37342,33484,46869,49464,46904,45716,45482,45149,48411,51577,57334,54746,-80008,9125,59931,62520
 "08000","Colorado",7,SAGDP3N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",7587,7850,8974,9587,9216,9624,8984,8785,9117,8922,10316,10093,10298,14339,13846,11637,11359,10173,10765,11205,11642,12546,13278,-16681,-27458,15847,17417
 "08000","Colorado",7,SAGDP3N,42,"486","   Pipeline transportation ","Thousands of dollars",16318,21327,23457,17148,19300,24702,24476,31024,35305,40837,43490,46597,52358,65662,58758,42413,66495,73280,77183,72666,89772,103309,116982,93152,95906,91481,104041
 "08000","Colorado",7,SAGDP3N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",28903,38734,40979,42871,36930,38849,39155,43197,44524,47621,23397,21812,22395,29107,28890,22868,22435,19680,21822,24483,25703,27819,29262,-27898,608,34565,37389
 "08000","Colorado",7,SAGDP3N,44,"493","   Warehousing and storage ","Thousands of dollars",4599,5580,5740,7043,5748,6339,6723,6343,5313,5350,5682,5680,5917,7470,7363,5648,5593,5371,5360,5690,6931,8144,9553,2109,1895,14152,15569
 "08000","Colorado",7,SAGDP3N,45,"51","  Information ","Thousands of dollars",637355,776665,967053,1061692,1041945,922620,903521,799969,802720,776130,649281,623553,647054,713949,687035,603234,606144,657240,702288,745315,777042,794458,840412,628213,762052,819089,765176
 "08000","Colorado",7,SAGDP3N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",45363,60542,65045,78547,99489,101438,103821,105216,107893,108176,115922,115401,117835,133932,133164,110918,104283,127949,129536,141488,153705,161049,186120,114000,165793,146977,153461
 "08000","Colorado",7,SAGDP3N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",28025,33250,44969,74473,133875,55127,52733,45533,46465,48973,50010,42233,43430,47354,47080,45050,47849,42742,44435,50922,45029,44267,40588,-2120,2937,32710,44073
