GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "98000","Far West",8,SAGDP3N,32,"325","    Chemical manufacturing ","Thousands of dollars",376670,389813,442953,514202,583061,669199,695051,777262,865550,891775,996983,1221035,1551586,1311557,1609074,1759275,1972843,2031541,2123987,2144300,2442326,2452045,2497099,2180175,2327420,2742910,2735123
 "98000","Far West",8,SAGDP3N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",93962,99552,102225,105833,97749,102037,101046,111230,108026,115717,130332,148651,149917,140021,136513,130834,129269,127042,135488,142017,143980,157743,174795,4731,86202,206290,218958
 "98000","Far West",8,SAGDP3N,34,"42","  Wholesale trade ","Thousands of dollars",23687735,24545926,25702006,27381733,26712532,26833070,27447463,27870315,31216773,34287199,35471373,35484717,31585432,35013198,42844186,41536648,44141005,47642493,51653341,48148586,50746399,59477690,72340766,61460424,75721988,85700922,78283159
 "98000","Far West",8,SAGDP3N,35,"44-45","  Retail trade ","Thousands of dollars",21714495,22570462,24693204,26851397,28280246,29348419,30030641,34011337,36124183,40704200,40091023,38920510,35083075,38631018,40046117,40733765,44709656,46817357,47346110,47865316,50171179,52600973,59089419,47808566,56662870,74225119,75781657
 "98000","Far West",8,SAGDP3N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",3274548,3924585,4116886,4540125,2952417,4352097,3904241,4966034,5107083,5034558,5390987,5616788,5550444,5217834,5511767,5512580,6149483,6713546,7393519,7909441,8489380,9121035,10027917,-966248,13481,11750848,12447645
 "98000","Far West",8,SAGDP3N,37,"481","   Air transportation ","Thousands of dollars",2268464,2777628,2961072,3320420,1884817,3373718,2890555,3941872,3980030,3839049,4123550,4111844,4119099,3811017,3912555,3877981,4398590,4843126,5418309,5835936,6313812,6814457,7275426,-1194831,-286454,8352054,8800812
 "98000","Far West",8,SAGDP3N,38,"482","   Rail transportation ","Thousands of dollars",-175542,-112460,-139616,-156565,-154900,-254927,-259721,-292924,-337365,-339075,-286176,-332305,-443247,-548658,-391135,-344233,-352165,-312910,-329501,-341610,-415828,-505400,-376679,-638990,-730983,-344925,-332982
 "98000","Far West",8,SAGDP3N,39,"483","   Water transportation ","Thousands of dollars",136859,149021,164027,155007,73396,26817,48734,-50777,24629,8917,39296,99096,52964,95214,109300,52005,135984,162162,176719,167759,216697,230160,251603,170940,131183,262168,269520
 "98000","Far West",8,SAGDP3N,40,"484","   Truck transportation ","Thousands of dollars",290437,292066,295002,310178,308197,329510,343451,394193,463556,507807,541819,563303,588745,602602,622392,656470,641788,679028,708274,727903,753237,805862,866114,-59866,472790,1059975,1128433
 "98000","Far West",8,SAGDP3N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",93716,101735,112565,122119,145890,149591,144196,141696,134129,137604,154558,177774,230903,252503,241231,268541,261132,265609,288995,343379,375013,449188,615045,298500,-548916,725548,752983
 "98000","Far West",8,SAGDP3N,42,"486","   Pipeline transportation ","Thousands of dollars",236432,246540,234618,277839,237843,250844,258197,316973,324207,333861,358090,473992,468991,481511,502527,493497,542441,543175,558077,538957,574139,605057,614360,613845,645094,682529,720925
 "98000","Far West",8,SAGDP3N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",371990,413885,430981,452078,406109,422631,423754,448082,455190,477513,378606,419402,424869,418187,413304,408901,415528,420266,446892,498113,522079,551555,585783,-156602,255472,744662,819133
 "98000","Far West",8,SAGDP3N,44,"493","   Warehousing and storage ","Thousands of dollars",52192,56169,58238,59049,51064,53914,55075,66919,62708,68882,81244,103682,108120,105459,101592,99419,106185,113089,125753,139004,150230,170155,196265,756,75296,268836,288823
 "98000","Far West",8,SAGDP3N,45,"51","  Information ","Thousands of dollars",3240916,3298197,3933300,3992397,5451817,5595820,5592265,6020253,5894118,5746954,5516208,5643109,5609768,5799740,5715973,5602173,6054282,6528773,7282898,7882128,8450656,9008926,9682243,8123668,7353259,10869334,11550592
 "98000","Far West",8,SAGDP3N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",189190,225611,280886,299488,526493,529943,547050,546146,539521,580371,667495,726277,800826,822472,849279,865304,879140,1362024,1469932,1584829,1757388,1935248,2145043,1691682,1516080,2756929,2994033
 "98000","Far West",8,SAGDP3N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",394289,398147,405281,397378,1509130,1671547,1697505,1811442,1764858,1855143,1969722,2118578,2200037,2180134,2058928,1985718,1918640,1742333,1830972,1958287,1977108,1979055,2100598,1485759,405847,2136458,2614490
 "98000","Far West",8,SAGDP3N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",2620411,2626333,3170707,3174285,3246551,3233668,3173032,3442880,3359478,3051609,2602635,2489843,2273321,2390862,2333482,2231597,2364838,2424444,2881066,2984043,2984108,2985724,3203817,3037807,3044183,3289876,3059273
 "98000","Far West",8,SAGDP3N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",37026,48105,76426,121246,169642,160661,174678,219785,230261,259831,276355,308411,335584,406271,474283,519553,891665,999971,1100929,1354968,1732051,2108899,2232784,1908420,2387149,2686070,2882796
 "98000","Far West",8,SAGDP3N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",21696250,22801527,23296716,24405634,25390719,28908739,29644527,32153257,32707304,36032151,40108784,45734667,46789010,45588703,45932008,45733419,47276305,50397438,53020362,57110629,58452104,64316352,68083254,65702893,71605831,80983598,86319580
 "98000","Far West",8,SAGDP3N,51,"52","   Finance and insurance ","Thousands of dollars",3684645,3782054,3817080,4004239,4078827,4551651,4991513,5547215,5966124,6061695,6225637,6444640,6329238,6195177,6381314,6624812,6996830,8026753,8915309,9420924,8025394,10330218,9005661,9550147,9555899,10998825,11791142
 "98000","Far West",8,SAGDP3N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",858690,989168,1028528,1084121,1201497,1365276,1472018,1622864,1708648,1774599,1903153,2032393,2027562,1905231,1866724,1935342,1982811,1945721,2121121,2345410,2420856,2563378,2661188,2369194,2994411,3109220,3210317
 "98000","Far West",8,SAGDP3N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",324666,361936,395149,446980,367677,375114,350201,332756,554245,517843,554668,578394,529664,550497,521627,550261,595735,659271,711395,771668,788863,810516,881815,344041,1007900,1282837,1304820
 "98000","Far West",8,SAGDP3N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",2381049,2300020,2264070,2314218,2468224,2766185,3123576,3544446,3649220,3687619,3680800,3756235,3674048,3680151,3948936,4116303,4382845,5369616,6021100,6245692,4738868,6872911,5365099,6811971,5470771,6479968,7155999
 "98000","Far West",8,SAGDP3N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",120239,130930,129333,158920,41428,45076,45719,47149,54012,81633,87016,77618,97964,59297,44027,22906,35438,52145,61693,58154,76808,83414,97560,24941,82817,126799,120006
 "98000","Far West",8,SAGDP3N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",18011605,19019473,19479636,20401395,21311892,24357088,24653014,26606041,26741180,29970456,33883146,39290026,40459772,39393526,39550693,39108607,40279475,42370685,44105053,47689705,50426710,53986134,59077592,56152746,62049932,69984773,74528439
 "98000","Far West",8,SAGDP3N,57,"531","    Real estate ","Thousands of dollars",16701543,17601290,17888103,18586289,19565198,22652163,22854093,24684696,24667794,27568838,31217171,36497478,37807849,36657159,36563620,36042900,37042439,38921516,40438478,43652771,46143999,49312325,54179412,52245266,57608667,64469783,68893742
 "98000","Far West",8,SAGDP3N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",1310062,1418183,1591532,1815106,1746694,1704925,1798920,1921346,2073386,2401618,2665976,2792549,2651923,2736367,2987073,3065707,3237037,3449169,3666575,4036935,4282711,4673810,4898180,3907480,4441265,5514990,5634697
 "98000","Far West",8,SAGDP3N,59,"54,55,56","  Professional and business services ","Thousands of dollars",2759231,3064688,3317824,3666527,4048841,4223810,4733017,5517639,7463520,7412244,7385579,7045474,6131157,6320693,6466081,6873437,7472748,8001975,8628969,9328185,9744586,10549474,11888833,-1740767,6985668,16101779,16156723
 "98000","Far West",8,SAGDP3N,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1212828,1403336,1551876,1742328,2144732,2283582,2829830,3405946,5373327,5195692,4960518,4342489,3417308,3591536,3692611,4019996,4422157,4889267,5322665,5747284,6106749,6593081,7148776,-2157011,4219285,10578265,10327749
 "98000","Far West",8,SAGDP3N,61,"5411","    Legal services ","Thousands of dollars",410256,532175,536322,538608,617337,773685,1355489,1827652,3826238,3502742,3007267,2073704,1093455,1235136,1278691,1476803,1796983,1995385,2280383,2518548,2800734,2990689,3062572,1292238,3576792,4961106,4438489
 "98000","Far West",8,SAGDP3N,62,"5415","    Computer systems design and related services ","Thousands of dollars",219174,249522,318552,426635,459853,395824,363007,388740,370039,414300,484974,537080,527784,577586,624470,736013,721087,850561,904701,982172,1044636,1120320,1327741,110961,960106,1944776,1993742
 "98000","Far West",8,SAGDP3N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Thousands of dollars",583398,621639,697002,777084,1067542,1114072,1111334,1189554,1177051,1278650,1468277,1731705,1796069,1778814,1789451,1807179,1904086,2043320,2137581,2246564,2261379,2482071,2758463,-3560210,-317613,3672383,3895518
